               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12092,            0.039402,            0.031015,           0.0014286,            0.055556,           0.0010401,          0.00010401,             0.12122,            0.047761,            0.031338,                 0.1,                   0,                   0
                   1,             0.12761,            0.058782,            0.031874,           0.0038023,             0.11111,            0.069968,           0.0085744,             0.12552,            0.044115,            0.030878,              0.0991,          9.9901e-05,          9.9901e-05
                   2,             0.12773,            0.054613,             0.03216,                   0,                   0,                   0,                   0,             0.12535,              0.0443,             0.03086,              0.0982,           0.0001996,           0.0001996
                   3,             0.12561,            0.050763,            0.031438,           0.0035587,             0.11111,           0.0091326,           0.0020827,             0.12528,            0.044407,            0.030763,            0.097299,          0.00029911,          0.00029911
                   4,              0.1237,            0.062024,            0.030511,           0.0035461,             0.11111,            0.010369,           0.0019612,             0.12528,            0.044503,            0.030771,            0.096398,          0.00039842,          0.00039842
                   5,             0.12772,             0.05256,            0.031037,           0.0035842,             0.11111,           0.0058283,           0.0012245,             0.12488,            0.044583,            0.030666,            0.095498,          0.00049752,          0.00049752
                   6,             0.12445,            0.048961,             0.03156,           0.0017301,            0.055556,           0.0089765,           0.0035906,             0.12469,            0.044565,            0.030659,            0.094596,          0.00059644,          0.00059644
                   7,              0.1217,            0.041151,            0.031065,           0.0016667,            0.055556,            0.010318,            0.004127,             0.12445,            0.044514,            0.030744,            0.093695,          0.00069515,          0.00069515
                   8,             0.12679,            0.063432,            0.031201,           0.0016234,            0.055556,           0.0025121,          0.00050241,             0.12448,            0.044203,            0.030799,            0.092794,          0.00079366,          0.00079366
                   9,             0.12506,            0.053776,            0.030588,           0.0015723,            0.055556,           0.0012509,          0.00025019,             0.12456,             0.04377,            0.030866,            0.091892,          0.00089198,          0.00089198
                  10,             0.12351,            0.057273,            0.032303,            0.001548,            0.055556,           0.0010628,          0.00021255,             0.12441,            0.043456,            0.030933,             0.09099,           0.0009901,           0.0009901
                  11,             0.12525,            0.048217,            0.029972,           0.0031056,             0.11111,           0.0021606,          0.00021606,             0.12398,            0.043479,            0.031087,            0.090088,            0.001088,            0.001088
                  12,             0.12117,             0.04824,            0.031765,            0.004644,             0.16667,           0.0037735,          0.00037735,             0.12348,            0.043485,            0.031178,            0.089186,           0.0011857,           0.0011857
                  13,             0.12738,            0.038332,            0.032485,                   0,                   0,                   0,                   0,             0.12323,            0.043162,            0.031161,            0.088283,           0.0012833,           0.0012833
                  14,             0.11465,            0.040262,            0.029285,           0.0015723,            0.055556,          0.00098309,          9.8309e-05,              0.1233,            0.042929,            0.031113,            0.087381,           0.0013806,           0.0013806
                  15,             0.10981,            0.042355,            0.028828,           0.0015924,            0.055556,          0.00096772,          0.00019354,             0.12328,            0.042669,            0.030968,            0.086478,           0.0014777,           0.0014777
                  15,             0.10981,            0.042355,            0.028828,           0.0015924,            0.055556,          0.00096772,          0.00019354,             0.12328,            0.042669,            0.030968,            0.086478,           0.0014777,           0.0014777
                  16,             0.12284,            0.063135,            0.030319,            0.003125,             0.11111,           0.0020307,          0.00060922,             0.12237,            0.043204,            0.030829,            0.085575,           0.0015747,           0.0015747
                  16,             0.12284,            0.063135,            0.030319,            0.003125,             0.11111,           0.0020307,          0.00060922,             0.12237,            0.043204,            0.030829,            0.085575,           0.0015747,           0.0015747
                  17,             0.12106,            0.060843,            0.030592,            0.003125,             0.11111,           0.0020307,          0.00060922,             0.12237,            0.043204,            0.030829,            0.084671,           0.0016714,           0.0016714
                  17,             0.12106,            0.060843,            0.030592,            0.003125,             0.11111,           0.0020307,          0.00060922,             0.12237,            0.043204,            0.030829,            0.084671,           0.0016714,           0.0016714
                  18,             0.11884,            0.054815,            0.029809,           0.0032258,             0.11111,           0.0025239,           0.0007813,             0.12073,            0.044224,            0.030635,            0.083768,           0.0017679,           0.0017679
                  18,             0.11884,            0.054815,            0.029809,           0.0032258,             0.11111,           0.0025239,           0.0007813,             0.12073,            0.044224,            0.030635,            0.083768,           0.0017679,           0.0017679
                  19,             0.11519,            0.071473,            0.029717,           0.0032258,             0.11111,           0.0025239,           0.0007813,             0.12073,            0.044224,            0.030635,            0.082864,           0.0018643,           0.0018643
                  19,             0.11519,            0.071473,            0.029717,           0.0032258,             0.11111,           0.0025239,           0.0007813,             0.12073,            0.044224,            0.030635,            0.082864,           0.0018643,           0.0018643
                  20,             0.12063,            0.058026,            0.029236,           0.0016393,            0.055556,               0.002,               0.001,              0.1191,            0.045083,            0.030471,             0.08196,           0.0019604,           0.0019604
                  20,             0.12063,            0.058026,            0.029236,           0.0016393,            0.055556,               0.002,               0.001,              0.1191,            0.045083,            0.030471,             0.08196,           0.0019604,           0.0019604
                  21,             0.11608,            0.054035,            0.029545,           0.0016393,            0.055556,               0.002,               0.001,              0.1191,            0.045083,            0.030471,            0.081056,           0.0020563,           0.0020563
                  21,             0.11608,            0.054035,            0.029545,           0.0016393,            0.055556,               0.002,               0.001,              0.1191,            0.045083,            0.030471,            0.081056,           0.0020563,           0.0020563
                  22,             0.11178,            0.044611,            0.029082,           0.0033113,             0.11111,           0.0062009,           0.0030653,             0.11803,            0.045475,            0.030246,            0.080152,           0.0021521,           0.0021521
                  22,             0.11178,            0.044611,            0.029082,           0.0033113,             0.11111,           0.0062009,           0.0030653,             0.11803,            0.045475,            0.030246,            0.080152,           0.0021521,           0.0021521
                  23,             0.11853,            0.072517,            0.029317,           0.0033113,             0.11111,           0.0062009,           0.0030653,             0.11803,            0.045475,            0.030246,            0.079248,           0.0022476,           0.0022476
                  23,             0.11853,            0.072517,            0.029317,           0.0033113,             0.11111,           0.0062009,           0.0030653,             0.11803,            0.045475,            0.030246,            0.079248,           0.0022476,           0.0022476
                  24,             0.11699,            0.058894,            0.028655,           0.0016779,            0.055556,           0.0022523,           0.0011262,             0.11651,            0.046295,            0.030281,            0.078343,            0.002343,            0.002343
                  24,             0.11699,            0.058894,            0.028655,           0.0016779,            0.055556,           0.0022523,           0.0011262,             0.11651,            0.046295,            0.030281,            0.078343,            0.002343,            0.002343
                  25,             0.11493,            0.065179,            0.030288,           0.0016779,            0.055556,           0.0022523,           0.0011262,             0.11651,            0.046295,            0.030281,            0.077438,           0.0024381,           0.0024381
                  25,             0.11493,            0.065179,            0.030288,           0.0016779,            0.055556,           0.0022523,           0.0011262,             0.11651,            0.046295,            0.030281,            0.077438,           0.0024381,           0.0024381
                  26,             0.11641,            0.053696,            0.027901,           0.0016556,            0.055556,            0.002783,           0.0011753,             0.11471,            0.047206,            0.029991,            0.076533,           0.0025331,           0.0025331
                  26,             0.11641,            0.053696,            0.027901,           0.0016556,            0.055556,            0.002783,           0.0011753,             0.11471,            0.047206,            0.029991,            0.076533,           0.0025331,           0.0025331
                  27,              0.1111,            0.054841,            0.028123,           0.0016556,            0.055556,            0.002783,           0.0011753,             0.11471,            0.047206,            0.029991,            0.075628,           0.0026278,           0.0026278
                  27,              0.1111,            0.054841,            0.028123,           0.0016556,            0.055556,            0.002783,           0.0011753,             0.11471,            0.047206,            0.029991,            0.075628,           0.0026278,           0.0026278
                  28,             0.11491,            0.043547,            0.029399,           0.0049505,             0.16667,            0.019686,           0.0035772,             0.11337,             0.04809,            0.029608,            0.074722,           0.0027224,           0.0027224
                  28,             0.11491,            0.043547,            0.029399,           0.0049505,             0.16667,            0.019686,           0.0035772,             0.11337,             0.04809,            0.029608,            0.074722,           0.0027224,           0.0027224
                  29,             0.11492,            0.047254,            0.028805,           0.0049505,             0.16667,            0.019686,           0.0035772,             0.11337,             0.04809,            0.029608,            0.073817,           0.0028167,           0.0028167
                  29,             0.11492,            0.047254,            0.028805,           0.0049505,             0.16667,            0.019686,           0.0035772,             0.11337,             0.04809,            0.029608,            0.073817,           0.0028167,           0.0028167
                  30,             0.11321,            0.038975,            0.030693,           0.0064935,             0.22222,            0.010427,            0.002847,             0.11234,            0.048769,            0.029231,            0.072911,           0.0029109,           0.0029109
                  30,             0.11321,            0.038975,            0.030693,           0.0064935,             0.22222,            0.010427,            0.002847,             0.11234,            0.048769,            0.029231,            0.072911,           0.0029109,           0.0029109
                  31,              0.1206,            0.069009,            0.028948,           0.0064935,             0.22222,            0.010427,            0.002847,             0.11234,            0.048769,            0.029231,            0.072005,           0.0030049,           0.0030049
                  31,              0.1206,            0.069009,            0.028948,           0.0064935,             0.22222,            0.010427,            0.002847,             0.11234,            0.048769,            0.029231,            0.072005,           0.0030049,           0.0030049
                  32,             0.11705,            0.057248,            0.028792,            0.004902,             0.16667,           0.0045085,           0.0013306,             0.11225,            0.049228,            0.029043,            0.071099,           0.0030986,           0.0030986
                  32,             0.11705,            0.057248,            0.028792,            0.004902,             0.16667,           0.0045085,           0.0013306,             0.11225,            0.049228,            0.029043,            0.071099,           0.0030986,           0.0030986
                  33,             0.11014,             0.05013,            0.028215,            0.004902,             0.16667,           0.0045085,           0.0013306,             0.11225,            0.049228,            0.029043,            0.070192,           0.0031922,           0.0031922
                  33,             0.11014,             0.05013,            0.028215,            0.004902,             0.16667,           0.0045085,           0.0013306,             0.11225,            0.049228,            0.029043,            0.070192,           0.0031922,           0.0031922
                  34,             0.11449,            0.044321,             0.02781,           0.0071633,             0.27778,           0.0097953,           0.0025198,             0.10977,            0.050635,            0.027773,            0.069286,           0.0032856,           0.0032856
                  34,             0.11449,            0.044321,             0.02781,           0.0071633,             0.27778,           0.0097953,           0.0025198,             0.10977,            0.050635,            0.027773,            0.069286,           0.0032856,           0.0032856
                  35,             0.10772,            0.055529,            0.028007,           0.0071633,             0.27778,           0.0097953,           0.0025198,             0.10977,            0.050635,            0.027773,            0.068379,           0.0033787,           0.0033787
                  35,             0.10772,            0.055529,            0.028007,           0.0071633,             0.27778,           0.0097953,           0.0025198,             0.10977,            0.050635,            0.027773,            0.068379,           0.0033787,           0.0033787
                  36,             0.10971,            0.057636,            0.028058,           0.0043732,             0.16667,           0.0051726,            0.001001,             0.10858,            0.051228,            0.027019,            0.067472,           0.0034717,           0.0034717
                  36,             0.10971,            0.057636,            0.028058,           0.0043732,             0.16667,           0.0051726,            0.001001,             0.10858,            0.051228,            0.027019,            0.067472,           0.0034717,           0.0034717
                  37,             0.10955,            0.048551,            0.028943,           0.0043732,             0.16667,           0.0051726,            0.001001,             0.10858,            0.051228,            0.027019,            0.066564,           0.0035645,           0.0035645
                  37,             0.10955,            0.048551,            0.028943,           0.0043732,             0.16667,           0.0051726,            0.001001,             0.10858,            0.051228,            0.027019,            0.066564,           0.0035645,           0.0035645
                  38,             0.11319,            0.057455,            0.027971,           0.0062696,             0.22222,           0.0081408,           0.0015951,              0.1061,            0.053762,            0.026458,            0.065657,            0.003657,            0.003657
                  38,             0.11319,            0.057455,            0.027971,           0.0062696,             0.22222,           0.0081408,           0.0015951,              0.1061,            0.053762,            0.026458,            0.065657,            0.003657,            0.003657
                  39,             0.11101,            0.069207,            0.028536,           0.0062696,             0.22222,           0.0081408,           0.0015951,              0.1061,            0.053762,            0.026458,            0.064749,           0.0037494,           0.0037494
                  39,             0.11101,            0.069207,            0.028536,           0.0062696,             0.22222,           0.0081408,           0.0015951,              0.1061,            0.053762,            0.026458,            0.064749,           0.0037494,           0.0037494
                  40,             0.10365,            0.054519,            0.027692,            0.006689,             0.22222,            0.063021,            0.012126,             0.10536,            0.055258,            0.026569,            0.063842,           0.0038416,           0.0038416
                  40,             0.10365,            0.054519,            0.027692,            0.006689,             0.22222,            0.063021,            0.012126,             0.10536,            0.055258,            0.026569,            0.063842,           0.0038416,           0.0038416
                  41,             0.10335,            0.053556,            0.025931,            0.006689,             0.22222,            0.063021,            0.012126,             0.10536,            0.055258,            0.026569,            0.062934,           0.0039336,           0.0039336
                  41,             0.10335,            0.053556,            0.025931,            0.006689,             0.22222,            0.063021,            0.012126,             0.10536,            0.055258,            0.026569,            0.062934,           0.0039336,           0.0039336
                  42,             0.10818,            0.067161,            0.026777,           0.0082508,             0.27778,            0.035006,            0.012673,             0.10444,             0.05522,            0.026343,            0.062025,           0.0040254,           0.0040254
                  42,             0.10818,            0.067161,            0.026777,           0.0082508,             0.27778,            0.035006,            0.012673,             0.10444,             0.05522,            0.026343,            0.062025,           0.0040254,           0.0040254
                  43,             0.11209,            0.069451,            0.026923,           0.0082508,             0.27778,            0.035006,            0.012673,             0.10444,             0.05522,            0.026343,            0.061117,           0.0041169,           0.0041169
                  43,             0.11209,            0.069451,            0.026923,           0.0082508,             0.27778,            0.035006,            0.012673,             0.10444,             0.05522,            0.026343,            0.061117,           0.0041169,           0.0041169
